"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"appointment-lt","Appointment.participant.required","Appointment.participant.required","","","",0,1,"","","Y","boolean {[]} {[]}
","The participant is required to attend (optional when false)","Whether this participant is required to be present at the meeting. If false, the participant is optional.","For the use-case where two doctors need to meet to discuss the results for a specific patient, and the patient is not required to be present include the patient in the subject field, but do not include them as a participant - this was formerly done prior to R5 with required='information-only'.","","","","","","","","",,,,,"",,,,"Appointment.participant.required",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.participant.status","Appointment.participant.status","","","",1,1,"Y","","Y","code {[]} {[]}
","accepted | declined | tentative | needs-action","Participation status of the actor.","","","","","","","","","",,"required","The Participation status of an appointment.","http://hl7.org/fhir/ValueSet/participationstatus|5.0.0","",,,,"Appointment.participant.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceId","Appointment.recurrenceId","","","",0,1,"","","","positiveInt {[]} {[]}
","The sequence number in the recurrence","The sequence number that identifies a specific appointment in a recurring pattern.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.occurrenceChanged","Appointment.occurrenceChanged","","","",0,1,"","","","boolean {[]} {[]}
","Indicates that this appointment varies from a recurrence pattern","This appointment varies from the recurring pattern.","For example, if a patient has physical therapy appointments every Tuesday and Thursday, but due to a national holiday, a single occurrence was rescheduled to a different day, while the rest of the recurring series remained on Tuesday / Thursday.","","","","","","","","",,,,,"",,,,"Appointment.occurrenceChanged",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate","Appointment.recurrenceTemplate","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details of the recurrence pattern/template used to generate occurrences","The details of the recurrence pattern or template that is used to generate recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate",0,*,"app-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.id","Appointment.recurrenceTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"appointment-lt","Appointment.recurrenceTemplate.extension","Appointment.recurrenceTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.recurrenceTemplate.modifierExtension","Appointment.recurrenceTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.recurrenceTemplate.timezone","Appointment.recurrenceTemplate.timezone","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The timezone of the occurrences","The timezone of the recurring appointment occurrences.","","","","","","","","","",,"required","IANA Timezones (BCP 175)","http://hl7.org/fhir/ValueSet/timezones|5.0.0","",,,,"Appointment.recurrenceTemplate.timezone",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.recurrenceType","Appointment.recurrenceTemplate.recurrenceType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The frequency of the recurrence","How often the appointment series should recur.","","","","","","","","","",,"preferred","IANA Timezones (BCP 175)","http://hl7.org/fhir/ValueSet/appointment-recurrrence-type|5.0.0","",,,,"Appointment.recurrenceTemplate.recurrenceType",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
